Original order in ppt,"Source (Probe list, Patient)",Semantic  Category,Cog Status (Span/Cat),Palabra en English,Palabra en Castellano,Paraula en Català,Espal_NSYL,Espal_IMG,Espal_NLET,Espal_CON,Espal_FAM,ClearpondFrequency_PerMil_Esp,Coca_word Freq (Total) - Web/Dialects,COCA_full freq Eng,Clearpond_wordLength_orthographic_Eng,Clearpond_Lexical_Frequency_Eng,MRC Concreteness,MRC Familiarity,MRC Imigability,MRC N_of_Letters,MRC N_of_Syllables,CAT_SUBTLEX_NSYL,NIM_NLET,NIM_WordFreq_Relativa,NIM_WordFreq_Total_Absoluta
64.0,Probe List,animal,0.0,worm,gusano /lombriz,cuc,2.0,2.0,7.0,2.0,2.0,NA,NA,5196.0,4.0,10.1176,611.0,498.0,578.0,7.0,1.0,1.0,3.0,7.17997,368.0
65.0,Probe List,body parts,0.0,shoulder,hombro,espatlla,2.0,6.232,6.0,6.41,6.41,21.851,23361.0,48861.0,8.0,26.1961,589.0,553.0,577.0,6.0,2.0,3.0,8.0,33.2659,1705.0
66.0,Probe List,food/snack,0.0,popcorn,palomitas,crispetes,4.0,2.0,9.0,2.0,2.0,7.8606,3597.0,5666.0,7.0,9.1176,NA,NA,NA,9.0,NA,3.0,9.0,NA,NA
68.0,Probe List,profession/person,2.0,doctor,doctor/médico,doctor/metge,2.5,5.8469999999999995,6.0,5.1845,5.1845,NA,NA,106766.0,6.0,263.9412,575.0,573.0,600.0,6.0,2.0,NA,5.5,NA,NA
69.0,Probe List,food/veg,0.0,pickle,pepinillo,cogombret,4.0,2.0,9.0,2.0,2.0,1.3702,233.0,2118.0,6.0,4.6078,606.0,562.0,641.0,9.0,2.0,3.0,9.0,NA,NA
70.0,Probe List,object,1.0,Cross,cruz,creu,1.0,2.0,4.0,6.127,6.127,21.5144,164753.0,NA,5.0,NA,NA,NA,NA,4.0,1.0,1.0,4.0,175.89,9015.0
71.0,Probe List,gemstones,0.0,emerald,esmeralda,maragda,4.0,5.525,9.0,6.546,6.546,4.7115,6067.0,2906.0,7.0,2.5686,613.0,457.0,602.0,9.0,3.0,3.0,7.0,2.02912,104.0
72.0,Probe List,food/veg,0.0,avocado,aguacate,alvocat,4.0,2.0,8.0,2.0,2.0,0.81731,6011.0,2442.0,7.0,1.2157,NA,NA,NA,8.0,4.0,3.0,7.0,0.0195108,1.0
73.0,Probe List,office supply,2.0,shredder,trituradora,trituradora,5.0,2.0,11.0,2.0,2.0,1.2981,979.0,1305.0,8.0,NA,NA,NA,NA,11.0,2.0,5.0,11.0,0.0780432,4.0
74.0,Probe List,food/fruit,0.0,strawberry,fresa,maduixa,2.0,6.67,5.0,5.878,5.878,3.5337,4723.0,4744.0,10.0,5.5294,610.0,539.0,631.0,5.0,3.0,3.0,7.0,2.45836,126.0
75.0,Probe List,animal,0.0,dog ,perro,gos,2.0,6.573,5.0,6.443,6.443,166.1779,90314.0,NA,4.0,NA,NA,NA,NA,5.0,1.0,1.0,3.0,60.0347,3077.0
